user_id,signup_date,marketplace_side,device,acquisition_source,signup_completed,profile_completed,search_completed,listing_completed,booking_completed,payment_completed,activated,revenue,cohort_month,profile_dropoff,search_dropoff,listing_dropoff,booking_dropoff,payment_dropoff,activation_dropoff,total_funnel_activity
U10001,2025-04-13,Supply,Android,Paid Search,1,1,0,1,1,1,0,1497.0,2025-04,0,1,0,0,0,1,5
U10002,2025-06-29,Supply,Android,Referral,1,1,1,1,1,0,0,0.0,2025-06,0,0,0,0,1,0,5
U10003,2025-04-03,Supply,Web,Organic,1,1,0,1,1,0,0,0.0,2025-04,0,1,0,0,1,0,4
U10004,2025-01-15,Demand,Android,Paid Search,1,1,1,0,1,1,1,1098.0,2025-01,0,0,1,0,0,0,6
U10005,2025-04-17,Demand,Web,Organic,1,0,0,0,0,0,0,0.0,2025-04,1,0,0,0,0,0,1
U10006,2025-03-13,Demand,Android,Referral,1,1,1,0,1,1,1,4081.0,2025-03,0,0,1,0,0,0,6
U10007,2025-01-21,Supply,Ios,Organic,1,1,1,0,0,0,0,0.0,2025-01,0,0,1,0,0,0,3
U10008,2025-04-13,Supply,Web,Organic,1,1,1,0,0,0,0,0.0,2025-04,0,0,1,0,0,0,3
U10009,2025-05-02,Supply,Android,Referral,1,1,1,1,0,0,0,0.0,2025-05,0,0,0,1,0,0,4
U10010,2025-03-16,Demand,Android,Organic,1,0,0,0,0,0,0,0.0,2025-03,1,0,0,0,0,0,1
U10011,2025-03-29,Demand,Android,Partner,1,1,1,1,0,0,0,0.0,2025-03,0,0,0,1,0,0,4
U10012,2025-04-27,Supply,Android,Organic,1,1,0,0,0,0,0,0.0,2025-04,0,1,1,0,0,0,2
U10013,2025-04-10,Demand,Ios,Paid Search,1,1,1,1,1,0,0,0.0,2025-04,0,0,0,0,1,0,5
U10014,2025-04-14,Supply,Web,Organic,1,1,0,1,0,0,0,0.0,2025-04,0,1,0,1,0,0,3
U10015,2025-06-01,Demand,Android,Referral,1,1,0,1,0,0,0,0.0,2025-06,0,1,0,0,0,0,3
U10016,2025-05-11,Demand,Android,Partner,1,1,1,0,1,1,1,1946.0,2025-05,0,0,1,0,0,0,6
U10017,2025-05-30,Demand,Android,Organic,1,0,0,0,0,0,0,0.0,2025-05,1,0,0,0,0,0,1
U10018,2025-02-22,Demand,Ios,Partner,1,0,0,0,0,0,0,0.0,2025-02,1,0,0,0,0,0,1
U10019,2025-01-02,Demand,Android,Organic,1,1,1,0,1,1,1,4127.0,2025-01,0,0,1,0,0,0,6
U10020,2025-03-29,Supply,Ios,Social,1,1,1,0,0,0,0,0.0,2025-03,0,0,1,0,0,0,3
U10021,2025-06-07,Demand,Ios,Paid Search,1,0,0,0,0,0,0,0.0,2025-06,1,0,0,0,0,0,1
U10022,2025-02-07,Supply,Ios,Partner,1,1,0,0,0,0,0,0.0,2025-02,0,1,1,0,0,0,2
U10023,2025-05-10,Demand,Android,Paid Search,1,1,1,0,0,0,0,0.0,2025-05,0,0,1,1,0,0,3
U10024,2025-01-21,Demand,Ios,Paid Search,1,1,1,1,1,1,1,1771.0,2025-01,0,0,0,0,0,0,7
U10025,2025-06-10,Demand,Android,Organic,1,0,0,0,0,0,0,0.0,2025-06,1,0,0,0,0,0,1
U10026,2025-02-27,Demand,Android,Organic,1,0,0,0,0,0,0,0.0,2025-02,1,0,0,0,0,0,1
U10027,2025-01-22,Demand,Web,Partner,1,1,1,0,1,1,0,1509.0,2025-01,0,0,1,0,0,1,5
U10028,2025-03-30,Demand,Ios,Referral,1,1,0,0,0,0,0,0.0,2025-03,0,1,1,0,0,0,2
U10029,2025-02-18,Demand,Android,Referral,1,1,0,0,0,0,0,0.0,2025-02,0,1,1,0,0,0,2
U10030,2025-02-28,Supply,Android,Social,1,1,0,1,0,0,0,0.0,2025-02,0,1,0,1,0,0,3
U10031,2025-06-19,Supply,Android,Referral,1,1,1,1,0,0,0,0.0,2025-06,0,0,0,1,0,0,4
U10032,2025-01-15,Supply,Android,Partner,1,1,0,1,1,1,1,2081.0,2025-01,0,1,0,0,0,0,6
U10033,2025-06-24,Supply,Android,Social,1,1,0,1,1,1,1,3021.0,2025-06,0,1,0,0,0,0,6
U10034,2025-02-20,Demand,Android,Paid Search,1,0,0,0,0,0,0,0.0,2025-02,1,0,0,0,0,0,1
U10035,2025-04-18,Supply,Android,Partner,1,1,0,1,0,0,0,0.0,2025-04,0,1,0,1,0,0,3
U10036,2025-02-24,Demand,Ios,Organic,1,1,1,0,1,1,0,3861.0,2025-02,0,0,1,0,0,1,5
U10037,2025-03-05,Supply,Ios,Organic,1,1,0,1,0,0,0,0.0,2025-03,0,1,0,1,0,0,3
U10038,2025-05-11,Supply,Ios,Referral,1,1,0,1,1,1,1,1341.0,2025-05,0,1,0,0,0,0,6
U10039,2025-02-20,Demand,Android,Organic,1,1,1,0,0,0,0,0.0,2025-02,0,0,1,1,0,0,3
U10040,2025-05-15,Demand,Web,Social,1,0,0,0,0,0,0,0.0,2025-05,1,0,0,0,0,0,1
U10041,2025-01-21,Demand,Web,Partner,1,0,0,0,0,0,0,0.0,2025-01,1,0,0,0,0,0,1
U10042,2025-03-14,Demand,Web,Referral,1,1,0,0,0,0,0,0.0,2025-03,0,1,1,0,0,0,2
U10043,2025-06-16,Demand,Web,Referral,1,1,1,0,1,0,0,0.0,2025-06,0,0,1,0,1,0,4
